osmid,y,x
622624187,31.1880453,121.4381587
622624188,31.1870507,121.4385486
623410145,31.1994345,121.464515
623410148,31.1994891,121.4647227
623410149,31.2002502,121.4677533
640448605,31.2002653,121.4433738
640448687,31.2023162,121.4488871
640458286,31.1950959,121.4341746
640459264,31.1956694,121.434114
640459266,31.1958413,121.4340334
640464962,31.1931238,121.4334908
640466413,31.1958748,121.4353872
640468083,31.1969821,121.4370859
640468130,31.1972207,121.4368284
640468170,31.1980548,121.4356712
640468210,31.1981051,121.4355864
640469172,31.2005431,121.4336282
640470131,31.2022252,121.4329625
640476171,31.2012256,121.4359733
640476172,31.1996921,121.4367952
640476183,31.1995725,121.4368403
640476214,31.2002102,121.43238160000001
640476403,31.2041172,121.4307932
640476435,31.2016684,121.43194260000001
640482387,31.2133939,121.4328724
640484221,31.2203008,121.4419427
640593631,31.1877185,121.4323468
804464883,31.2050996,121.4409716
804464903,31.2052726,121.4409496
804464933,31.2101693,121.4357458
804464960,31.2093459,121.4388024
804474451,31.2042386,121.4306733
804474492,31.2048277,121.4317215
856908349,31.187531,121.4338323
856908373,31.1902683,121.4373754
856908554,31.1888559,121.4324714
856908615,31.1961682,121.44141130000001
856908626,31.193962,121.4373371
856908765,31.2011931,121.4603988
856908965,31.2027428,121.4597737
856908984,31.2015008,121.4493066
856908986,31.1995447,121.4503607
856909006,31.2016601,121.4521243
856909015,31.2023941,121.451661
856909026,31.2006447,121.4527751
856909055,31.2042037,121.46002480000001
856909059,31.2049578,121.4627987
856909184,31.2098442,121.4676587
856926212,31.1825769,121.4097231
857586230,31.2124835,121.4296534
857586245,31.2197535,121.4426202
857586297,31.2161646,121.4442448
857586333,31.2124937,121.4453334
857586380,31.2125162,121.4455079
858404191,31.2195814,121.4511019
858404199,31.2101395,121.4667636
858404201,31.2102238,121.467132
858404205,31.2099494,121.4672481
858404226,31.2103531,121.4572091
858404347,31.206712,121.46194430000001
858404348,31.2063502,121.4621122
858404364,31.2064242,121.4623717
994212281,31.2104618,121.4284224
994212301,31.2068452,121.4292941
994212305,31.2076219,121.4326365
994212309,31.2080179,121.4346195
994909970,31.2129714,121.4305737
994910026,31.2151992,121.4346081
1168461360,31.2140118,121.4392509
1168463053,31.2100097,121.4380035
1317175521,31.2102449,121.4314909
1414884244,31.2032583,121.4348618
1414884245,31.2044779,121.4369924
1414884249,31.2071778,121.439941
1487384235,31.2097527,121.4284986
1490932758,31.1986444,121.4331699
1490932760,31.1977297,121.4334682
1576353731,31.2073467,121.46514800000001
1576354815,31.2155365,121.4444929
1576354819,31.2238115,121.4523491
1577605553,31.2029317,121.4420277
1666718699,31.2127137,121.4347323
1882272209,31.2075571,121.4650768
1882278349,31.2058439,121.47014
1882296810,31.2039824,121.4665887
2129433532,31.1880975,121.4324047
2129433575,31.1848091,121.43193040000001
2129433584,31.1872041,121.4325021
2329789972,31.2236196,121.4557151
2329789973,31.2229507,121.4527613
2376274688,31.1870391,121.4374289
2389906350,31.1818963,121.4098164
2412392614,31.2019298,121.4386158
2412392616,31.2232934,121.4654955
2662665881,31.2002258,121.460776
2716408636,31.2107203,121.4683423
2716408643,31.210351,121.46774970000001
2716408719,31.2100439,121.4685948
2716408741,31.2098846,121.4686552
2971125849,31.2032421,121.4567757
2971125939,31.2050048,121.458254
2974114618,31.2091887,121.4624585
2974114621,31.2104218,121.4620997
3026283738,31.1949985,121.4563211
3026466099,31.197122,121.4632788
3026466100,31.1990961,121.459979
3026466101,31.1991684,121.4626774
3026466102,31.1995916,121.4610197
3026470525,31.1964954,121.4610527
3028984382,31.1983416,121.4629204
3048216957,31.2103377,121.4328068
3805834237,31.1910568,121.4340489
3805834238,31.1893733,121.4349703
4225546015,31.1960579,121.4591048
4225546016,31.1961027,121.4592212
4225546021,31.1982234,121.4578911
4225546025,31.2000244,121.4574271
4225698900,31.223602,121.4662149
4225698901,31.224421,121.4658773
4470004597,31.2162029,121.4347881
4470004598,31.2150009,121.4345379
4790191325,31.1993377,121.4344641
4988370703,31.2237866,121.46663280000001
4988370706,31.2243832,121.4662754
4988370708,31.2257086,121.4649685
4988370712,31.2255756,121.4651307
4988370714,31.2245063,121.4661849
4988370715,31.2249134,121.4658269
4988384171,31.2233002,121.4668469
4988384174,31.2230677,121.4668976
4988384178,31.2234586,121.466783
5000715349,31.2051354,121.4563241
5226901246,31.2145421,121.4342314
5226901248,31.2142721,121.4403992
5226901256,31.2116655,121.4333584
5226901257,31.211942,121.4337207
5226901258,31.210278,121.4345688
5226901263,31.2102971,121.434286
5226901264,31.2124284,121.4343583
5226901271,31.2102454,121.4351575
5226901273,31.2102717,121.4373223
6360292379,31.2179548,121.4435966
6360292380,31.2172322,121.4438406
6369165292,31.2156177,121.4409089
7118978996,31.20994,121.4658875
8364544019,31.2096124,121.4687585
